preprocessing,embeddings,acc,micro_p,micro_r,micro_f1,macro_f1
[],,0.9111338100102144,0.9133261105092092,0.9546998867497168,0.9335548172757476,0.863472244191062
[],deps,0.8927477017364658,0.8944504896626768,0.9309173272933182,0.9123196448390676,0.8523337755911461
[],pos_tags,0.9101123595505618,0.9069264069264068,0.9490373725934316,0.9275041505257332,0.8733241177109705
[],pos_tags deps,0.8825331971399387,0.8864864864864865,0.9286523216308041,0.9070796460176992,0.8269136256380741
[],sk,0.8855975485188968,0.8948521358159912,0.9252548131370328,0.9097995545657016,0.8394954623024801
[],sk  deps,0.881511746680286,0.8828541001064962,0.9388448471121178,0.9099890230515916,0.8107337938828024
[],sk pos_tags,0.8804902962206334,0.8768421052631579,0.943374858437146,0.9088925259138024,0.8013193241596162
[],sk pos_tags deps,0.8804902962206334,0.8896174863387978,0.9218573046432617,0.9054505005561736,0.8308734111712468
[],position,0.8845760980592441,0.8827292110874201,0.9377123442808608,0.9093904448105437,0.8217236043821592
[],position   deps,0.8855975485188968,0.8904555314533622,0.9297848244620612,0.9096952908587256,0.8337731158582706
[],position  pos_tags,0.8835546475995915,0.9049723756906076,0.9275198187995468,0.9161073825503356,0.8251110469307613
[],position  pos_tags deps,0.8958120531154239,0.8933901918976546,0.9490373725934316,0.9203734211971444,0.8345814930073211
[],position sk,0.8876404494382022,0.8833510074231177,0.943374858437146,0.9123767798466594,0.8230324006920481
[],position sk  deps,0.8457609805924413,0.8474758324382384,0.8935447338618346,0.8699007717750826,0.7873820299083087
[],position sk pos_tags,0.8753830439223698,0.8864628820960698,0.9195922989807476,0.9027237354085604,0.8203429353610535
[],position sk pos_tags deps,0.8876404494382022,0.8906752411575563,0.941109852774632,0.9151982378854624,0.8226579766929281
['sw'],,0.8580183861082737,0.8627881448957191,0.8901472253680635,0.8762541806020067,0.8205100815652248
['sw'],deps,0.856996935648621,0.8563772775991425,0.9048697621744054,0.8799559471365638,0.7987392746249294
['sw'],pos_tags,0.8774259448416751,0.875,0.9275198187995468,0.9004947773501923,0.8188482738051683
['sw'],pos_tags deps,0.8733401430030644,0.88,0.9218573046432617,0.9004424778761062,0.8140066585779808
