preprocessing,embeddings,micro_f1,macro_f1
[],,0.8751625487646293,0.7982455357401766
[],position,0.8787014696205308,0.7993336022409663
[],sk,0.8766946417043254,0.8000872696699646
[],sk position,0.8801392212312379,0.8085467080164218
[],deps,0.8829141370338249,0.8078069492407984
[],deps  position,0.8812527185732927,0.8082309894877736
[],deps sk,0.8793483047115808,0.8058235907092363
[],deps sk position,0.8668141592920354,0.7988557072203202
[],pos_tag,0.8848936636702477,0.8056116679246688
[],pos_tag   position,0.8805086603814952,0.8078586324726192
[],pos_tag  sk,0.8771316134674247,0.8033780423673754
[],pos_tag  sk position,0.8700839593460009,0.8035836832953114
[],pos_tag deps,0.8794998922181504,0.80341407130999
[],pos_tag deps  position,0.8728323699421966,0.7833877363110101
[],pos_tag deps sk,0.8801955990220048,0.8041756355419925
[],pos_tag deps sk position,0.8699609882964889,0.7959344206665182
['sw'],,0.8388106416275429,0.7600856138097588
['sw'],position,0.8499008155168613,0.7774275856165374
['sw'],sk,0.8470588235294118,0.7789949588494942
['sw'],sk position,0.8466503449810816,0.773571406848643
['sw'],deps,0.8379218472468917,0.7665288759445295
['sw'],deps  position,0.8386816999132698,0.7506677889264108
['sw'],deps sk,0.8514548238897397,0.7796356623379871
['sw'],deps sk position,0.8332968236582695,0.7666514733785379
['sw'],pos_tag,0.8419426048565122,0.773297768787075
['sw'],pos_tag   position,0.8372296263928337,0.7614279194088727
['sw'],pos_tag  sk,0.851345390383767,0.7800307251528235
['sw'],pos_tag  sk position,0.8394079964656507,0.7714063991435978
['sw'],pos_tag deps,0.8384849804092295,0.7596222487339875
['sw'],pos_tag deps  position,0.8412132024977698,0.7638116729150001
['sw'],pos_tag deps sk,0.8412663272083241,0.7744821312391353
['sw'],pos_tag deps sk position,0.8371385083713851,0.763893852901635
['d'],,0.8592297476759628,0.7829004450104528
['d'],position,0.8852818600570301,0.8050856773551657
['d'],sk,0.8768240343347641,0.8044576398985115
['d'],sk position,0.8767537232894453,0.7993461176518131
['d'],deps,0.881886293521375,0.8052399097248472
['d'],deps  position,0.8804015713662157,0.8066634071315032
['d'],deps sk,0.8691709844559586,0.7932429638654879
['d'],deps sk position,0.8658751099384344,0.7958000202277103
['d'],pos_tag,0.8788744779072324,0.800217686301631
['d'],pos_tag   position,0.8783783783783784,0.8001733984210281
['d'],pos_tag  sk,0.8732271437922758,0.7969461154791484
['d'],pos_tag  sk position,0.8702222222222222,0.7956303732444457
['d'],pos_tag deps,0.8726322664924886,0.7985818525356396
['d'],pos_tag deps  position,0.8773397929971372,0.7918123333156668
['d'],pos_tag deps sk,0.8675819309123117,0.7956955840617069
['d'],pos_tag deps sk position,0.8683928953563023,0.7909655712184275
['b'],,0.8733759083902224,0.7930583190133785
['b'],position,0.8840070298769771,0.8047795059408532
['b'],sk,0.8712998712998714,0.7974284640111007
['b'],sk position,0.8816185966422729,0.8049773241318348
['b'],deps,0.8769535549196567,0.8002925633345389
['b'],deps  position,0.8735083532219571,0.802031361401298
['b'],deps sk,0.8785046728971962,0.8082444158164797
['b'],deps sk position,0.8701241134751773,0.7914909446783084
['b'],pos_tag,0.8816827344434707,0.8037328640650904
['b'],pos_tag   position,0.884315424610052,0.8088102721088049
['b'],pos_tag  sk,0.8841238899718432,0.8132351650946132
['b'],pos_tag  sk position,0.8699731903485254,0.7996170430058317
['b'],pos_tag deps,0.8787812840043525,0.8031125569317848
['b'],pos_tag deps  position,0.8771466314398942,0.7964790858849101
['b'],pos_tag deps sk,0.8680570801317233,0.7880057189601885
['b'],pos_tag deps sk position,0.8761158284345744,0.8098583454527241
['p'],,0.8785698713756267,0.7998987768373935
['p'],position,0.8730897009966777,0.7964534001011209
['p'],sk,0.8740868070477008,0.7972018803370865
['p'],sk position,0.8769230769230768,0.8070460351141904
['p'],deps,0.8758198513336248,0.7960651724716741
['p'],deps  position,0.8785999113867965,0.8037306523818034
['p'],deps sk,0.8828507795100223,0.8106938843389215
['p'],deps sk position,0.8698370171913372,0.7952169030634356
['p'],pos_tag,0.8704957414282594,0.7878708993922124
['p'],pos_tag   position,0.8804512909524843,0.8054948803450664
['p'],pos_tag  sk,0.8787546590659943,0.8017835676445291
['p'],pos_tag  sk position,0.8739236034444692,0.7943109149560422
['p'],pos_tag deps,0.877277716794731,0.8021964778040138
['p'],pos_tag deps  position,0.8777107086966243,0.7974247614579747
['p'],pos_tag deps sk,0.8697777777777778,0.7943406818789093
['p'],pos_tag deps sk position,0.8821765209940018,0.8056918672181542
['eb'],,0.7993637809588728,0.6981933038308662
['eb'],position,0.8163992869875223,0.7158083167524332
['eb'],sk,0.8090614886731392,0.7117427333144641
['eb'],sk position,0.7957653286281429,0.7038426314512435
['eb'],deps,0.8116969428444838,0.7160220859358514
['eb'],deps  position,0.8080896900417674,0.7187834845991293
['eb'],deps sk,0.800705467372134,0.7021941676532584
['eb'],deps sk position,0.7988631394840402,0.7048345549672277
['eb'],pos_tag,0.8133333333333334,0.7116150295387471
['eb'],pos_tag   position,0.8069634200088144,0.7109943436255609
['eb'],pos_tag  sk,0.8071845920796364,0.7116448165917849
['eb'],pos_tag  sk position,0.8076668869795108,0.7082585763739113
['eb'],pos_tag deps,0.8108226052803841,0.7177642812407109
['eb'],pos_tag deps  position,0.8184233835252437,0.7107513354943888
['eb'],pos_tag deps sk,0.8144420131291029,0.7148467241423169
['eb'],pos_tag deps sk position,0.8123774242754412,0.7190815062788131
['nb'],,0.8000898472596586,0.7079783892876224
['nb'],position,0.8166928427193179,0.7134813459726362
['nb'],sk,0.8081650570676031,0.7074368307474829
['nb'],sk position,0.8098560837331007,0.7085936604563042
['nb'],deps,0.8185037627268703,0.722517216702049
['nb'],deps  position,0.8063464464246903,0.7097262984424342
['nb'],deps sk,0.8118291347207011,0.7133154172244747
['nb'],deps sk position,0.8147827966284851,0.7132471497439712
['nb'],pos_tag,0.816696113074205,0.7152739064092458
['nb'],pos_tag   position,0.8144128500108531,0.7174072470572518
['nb'],pos_tag  sk,0.8083170890188435,0.7081983870566542
['nb'],pos_tag  sk position,0.8161220043572984,0.7171225784038718
['nb'],pos_tag deps,0.8134344528710725,0.7184190675141247
['nb'],pos_tag deps  position,0.8110042496085887,0.7068519595947532
['nb'],pos_tag deps sk,0.8164598301763554,0.7175413083970369
['nb'],pos_tag deps sk position,0.8137598597721296,0.7170716352090326
"['sw', 'd']",,0.8285146766718163,0.7576178017467141
"['sw', 'd']",position,0.8411173184357542,0.7669855009308539
"['sw', 'd']",sk,0.8427286685676684,0.7633149795724946
"['sw', 'd']",sk position,0.8466726618705036,0.7698297319331724
"['sw', 'd']",deps,0.8464059427572647,0.77442772070502
"['sw', 'd']",deps  position,0.8268689057421452,0.74913110667989
"['sw', 'd']",deps sk,0.8494836299714351,0.7757935227301982
"['sw', 'd']",deps sk position,0.8433787945446547,0.7747798508777654
"['sw', 'd']",pos_tag,0.8446709505871925,0.7651496714581025
"['sw', 'd']",pos_tag   position,0.8397742075553626,0.7622154600920281
"['sw', 'd']",pos_tag  sk,0.8424989001319843,0.7694281483626838
"['sw', 'd']",pos_tag  sk position,0.844542447629548,0.7773966138607408
"['sw', 'd']",pos_tag deps,0.8346354166666666,0.7607333020545419
"['sw', 'd']",pos_tag deps  position,0.8464223385689355,0.7761304212584144
"['sw', 'd']",pos_tag deps sk,0.8374233128834356,0.7709585559852085
"['sw', 'd']",pos_tag deps sk position,0.8343991179713341,0.7631042316391586
"['sw', 'b']",,0.8308370044052864,0.7523172728684857
"['sw', 'b']",position,0.8459321658168921,0.7697209393266145
"['sw', 'b']",sk,0.8442694663167104,0.7723144537177669
"['sw', 'b']",sk position,0.8524009736667403,0.7786599244713038
"['sw', 'b']",deps,0.8392456219128873,0.7662540616806616
"['sw', 'b']",deps  position,0.8412767818102318,0.7635278567413171
"['sw', 'b']",deps sk,0.8529607451763142,0.7852424784606565
"['sw', 'b']",deps sk position,0.8459710520630805,0.7720991607621135
"['sw', 'b']",pos_tag,0.8435643564356435,0.7654892550678586
"['sw', 'b']",pos_tag   position,0.8412767818102318,0.761258698906064
"['sw', 'b']",pos_tag  sk,0.8544809228039042,0.7881688799957901
"['sw', 'b']",pos_tag  sk position,0.8442876047640053,0.7720031819578037
"['sw', 'b']",pos_tag deps,0.8388072601555748,0.7575002107832775
"['sw', 'b']",pos_tag deps  position,0.8385393752749671,0.7579916246142323
"['sw', 'b']",pos_tag deps sk,0.842704003500328,0.7688016537119049
"['sw', 'b']",pos_tag deps sk position,0.8515111695137977,0.7765601970208692
"['sw', 'p']",,0.8319401671799384,0.7605915507890403
"['sw', 'p']",position,0.8473451327433629,0.7704297779802585
"['sw', 'p']",sk,0.8447748141670309,0.7675138125407096
"['sw', 'p']",sk position,0.8447478528958379,0.7758256756685092
"['sw', 'p']",deps,0.8459334361913158,0.7625163673843225
"['sw', 'p']",deps  position,0.849476439790576,0.7684489093549899
"['sw', 'p']",deps sk,0.8438893844781444,0.7762435385911282
"['sw', 'p']",deps sk position,0.8394898856640279,0.7641323527613821
"['sw', 'p']",pos_tag,0.8429715302491103,0.7670173515204459
"['sw', 'p']",pos_tag   position,0.8367258553486359,0.7566334624481577
"['sw', 'p']",pos_tag  sk,0.8474651317245959,0.7770201301771152
"['sw', 'p']",pos_tag  sk position,0.8367170626349891,0.7651936067855791
"['sw', 'p']",pos_tag deps,0.8408499566348655,0.7627142051994009
"['sw', 'p']",pos_tag deps  position,0.8417314095449502,0.7625888411108476
"['sw', 'p']",pos_tag deps sk,0.8250110472823685,0.7552481540129533
"['sw', 'p']",pos_tag deps sk position,0.8421052631578947,0.7733230934977597
"['sw', 'eb']",,0.6863382899628253,0.5676249122958145
"['sw', 'eb']",position,0.7044789556605896,0.5898859632540614
"['sw', 'eb']",sk,0.6945494994438265,0.5870108606113966
"['sw', 'eb']",sk position,0.7012466607301869,0.595027824794469
"['sw', 'eb']",deps,0.6996370235934664,0.585244135251321
"['sw', 'eb']",deps  position,0.7135769057284618,0.5835844385687029
"['sw', 'eb']",deps sk,0.6931134388232673,0.593793933073981
"['sw', 'eb']",deps sk position,0.6873881932021467,0.5940348375488308
"['sw', 'eb']",pos_tag,0.7062514004033161,0.5887152259818431
"['sw', 'eb']",pos_tag   position,0.6913524497629261,0.5648105660605754
"['sw', 'eb']",pos_tag  sk,0.6891318902030797,0.5864326157503
"['sw', 'eb']",pos_tag  sk position,0.6910224994430829,0.5841370089509234
"['sw', 'eb']",pos_tag deps,0.7035786630654963,0.5721352050655351
"['sw', 'eb']",pos_tag deps  position,0.7081554706807459,0.5807084364823636
